Indicator	Value [MCHF/y]
CAPEX	6599.32
OPEX	3833.11
TOTEX	10432.42

Indicator	Value [ktCO2-eq/y]
GWP_construction	502.34
GWP_op	27385.16
GWP_total	27887.50
